[502]
[450] 5
[432] 4
[440] 3
[406] 11
[70] 10
[454] 9
[404] 11 5
[64] 10 5
[386] 9 5
[435] 2 4
[436] 1 4
[439] 0 4
[336] 11 4
[0] 10 4
[384] 9 4
[344] 11 3
[56] 10 3
[392] 9 3
[438] 14 3
[444] 13 3
[442] 12 3
[402] 5 11
[336] 4 11
[344] 3 11
[358] 8 11
[310] 7 11
[118] 6 11
[142] 2 10
[166] 1 10
[46] 0 10
[66] 5 10
[0] 4 10
[56] 3 10
[18] 5 9
[144] 4 9
[488] 3 9
[254] 7 13 1 10 4
[171] 1 5 0 10 4
[172] 0 5 0 10 4
[181] 14 5 0 10 4
[275] 13 5 0 10 4
[225] 12 5 0 10 4
[517] 14 4 0 10 4
[515] 13 4 0 10 4
[513] 12 4 0 10 4
[411] 1 3 0 10 4
[412] 0 3 0 10 4
[463] 11 3 0 10 4
[367] 10 3 0 10 4
[421] 14 3 0 10 4
[419] 13 3 0 10 4
[417] 12 3 0 10 4
[133] 1 14 0 10 4
[229] 5 14 0 10 4
[517] 4 14 0 10 4
[421] 3 14 0 10 4
[41] 7 14 0 10 4
[39] 6 14 0 10 4
[131] 1 13 0 10 4
[155] 0 13 0 10 4
[227] 5 13 0 10 4
[515] 4 13 0 10 4
[419] 3 13 0 10 4
[129] 1 12 0 10 4
[153] 0 12 0 10 4
[239] 5 12 0 10 4
[523] 4 12 0 10 4
[409] 3 12 0 10 4
[76] 2 5 2 9 4
[19] 11 5 2 9 4
[21] 10 5 2 9 4
[501] 10 3 2 9 4
[357] 8 10 2 9 4
[309] 7 10 2 9 4
[117] 6 10 2 9 4
[161] 1 9 2 9 4
[41] 0 9 2 9 4
[63] 8 9 2 9 4
[124] 0 5 0 9 4
[13] 14 5 0 9 4
[11] 13 5 0 9 4
[493] 14 3 0 9 4
[491] 13 3 0 9 4
[489] 12 3 0 9 4
[13] 5 14 0 9 4
[205] 4 14 0 9 4
[493] 3 14 0 9 4
[11] 5 13 0 9 4
[203] 4 13 0 9 4
[491] 3 13 0 9 4
[23] 5 12 0 9 4
[78] 14 2 5 9 4
[84] 13 2 5 9 4
[82] 12 2 5 9 4
[270] 14 0 5 9 4
[276] 13 0 5 9 4
[226] 12 0 5 9 4
[25] 2 14 5 9 4
[125] 0 14 5 9 4
[84] 2 13 5 9 4
[180] 0 13 5 9 4
[82] 2 12 5 9 4
[178] 0 12 5 9 4
[289] 2 14 8 11 3
[293] 0 14 8 11 3
[193] 2 14 7 11 3
[197] 0 14 7 11 3
[270] 14 2 6 11 3
[276] 13 2 6 11 3
[226] 12 2 6 11 3
[78] 14 0 6 11 3
[84] 13 0 6 11 3
[82] 12 0 6 11 3
[180] 2 13 6 11 3
[84] 0 13 6 11 3
[178] 2 12 6 11 3
[82] 0 12 6 11 3
[289] 8 2 14 11 3
[241] 7 2 14 11 3
[49] 6 2 14 11 3
[353] 8 0 14 11 3
[303] 7 0 14 11 3
[109] 6 0 14 11 3
[289] 2 8 14 11 3
[293] 0 8 14 11 3
[241] 2 7 14 11 3
[245] 0 7 14 11 3
[182] 2 6 13 11 3
[86] 0 6 13 11 3
[178] 2 6 12 11 3
[82] 0 6 12 11 3
[366] 14 8 2 10 3
[372] 13 8 2 10 3
[370] 12 8 2 10 3
[318] 14 7 2 10 3
[322] 12 7 2 10 3
[222] 14 6 2 10 3
[228] 13 6 2 10 3
[178] 12 6 2 10 3
[97] 2 14 2 10 3
[366] 8 14 2 10 3
[318] 7 14 2 10 3
[270] 6 14 2 10 3
[364] 8 13 2 10 3
[376] 7 13 2 10 3
[326] 6 13 2 10 3
[370] 8 12 2 10 3
[322] 7 12 2 10 3
[274] 6 12 2 10 3
[241] 2 14 1 10 3
[245] 0 14 1 10 3
[254] 6 13 1 10 3
[524] 11 4 0 10 3
[506] 9 4 0 10 3
[411] 2 3 0 10 3
[412] 1 3 0 10 3
[456] 11 3 0 10 3
[101] 0 14 0 10 3
[174] 5 14 0 10 3
[510] 4 14 0 10 3
[228] 5 13 0 10 3
[516] 4 13 0 10 3
[226] 5 12 0 10 3
[514] 4 12 0 10 3
[129] 5 2 14 10 3
[143] 4 2 14 10 3
[361] 8 2 14 10 3
[313] 7 2 14 10 3
[265] 6 2 14 10 3
[173] 5 0 14 10 3
[509] 4 0 14 10 3
[413] 3 0 14 10 3
[41] 8 0 14 10 3
[39] 7 0 14 10 3
[364] 8 2 13 10 3
[376] 7 2 13 10 3
[326] 6 2 13 10 3
[228] 5 0 13 10 3
[516] 4 0 13 10 3
[370] 8 2 12 10 3
[322] 7 2 12 10 3
[274] 6 2 12 10 3
[226] 5 0 12 10 3
[514] 4 0 12 10 3
[501] 10 2 3 9 3
[493] 14 0 3 9 3
[491] 13 0 3 9 3
[489] 12 0 3 9 3
[25] 2 5 14 9 3
[125] 0 5 14 9 3
[84] 2 5 13 9 3
[180] 0 5 13 9 3
[82] 2 5 12 9 3
[178] 0 5 12 9 3
[71] 10 4 2 14 3
[455] 9 4 2 14 3
[289] 8 11 2 14 3
[241] 7 11 2 14 3
[49] 6 11 2 14 3
[101] 1 10 2 14 3
[71] 4 10 2 14 3
[351] 11 7 0 14 3
[63] 10 7 0 14 3
[353] 8 11 0 14 3
[303] 7 11 0 14 3
[109] 6 11 0 14 3
[97] 1 10 0 14 3
[63] 7 10 0 14 3
[289] 8 2 11 14 3
[241] 7 2 11 14 3
[49] 6 2 11 14 3
[353] 8 0 11 14 3
[303] 7 0 11 14 3
[109] 6 0 11 14 3
[289] 2 8 11 14 3
[293] 0 8 11 14 3
[241] 2 7 11 14 3
[245] 0 7 11 14 3
[129] 5 2 10 14 3
[143] 4 2 10 14 3
[361] 8 2 10 14 3
[313] 7 2 10 14 3
[265] 6 2 10 14 3
[173] 5 0 10 14 3
[509] 4 0 10 14 3
[413] 3 0 10 14 3
[41] 8 0 10 14 3
[39] 7 0 10 14 3
[25] 2 5 9 14 3
[125] 0 5 9 14 3
[182] 2 6 11 13 3
[86] 0 6 11 13 3
[364] 8 2 10 13 3
[376] 7 2 10 13 3
[326] 6 2 10 13 3
[228] 5 0 10 13 3
[516] 4 0 10 13 3
[84] 2 5 9 13 3
[180] 0 5 9 13 3
[178] 2 6 11 12 3
[82] 0 6 11 12 3
[370] 8 2 10 12 3
[322] 7 2 10 12 3
[274] 6 2 10 12 3
[226] 5 0 10 12 3
[514] 4 0 10 12 3
[82] 2 5 9 12 3
[178] 0 5 9 12 3
[293] 2 9 8 5 11
[289] 0 9 8 5 11
[245] 2 9 7 5 11
[241] 0 9 7 5 11
[125] 2 9 6 5 11
[25] 0 9 6 5 11
[428] 8 2 11 5 11
[380] 7 2 11 5 11
[332] 6 2 11 5 11
[524] 4 0 11 5 11
[357] 10 8 2 4 11
[353] 9 8 2 4 11
[309] 10 7 2 4 11
[305] 9 7 2 4 11
[124] 2 6 2 4 11
[117] 10 6 2 4 11
[113] 9 6 2 4 11
[163] 1 11 2 4 11
[43] 0 11 2 4 11
[71] 3 11 2 4 11
[21] 5 10 2 4 11
[501] 3 10 2 4 11
[254] 14 7 1 4 11
[180] 2 6 1 4 11
[84] 0 6 1 4 11
[301] 14 8 0 4 11
[299] 13 8 0 4 11
[297] 12 8 0 4 11
[253] 14 7 0 4 11
[203] 13 7 0 4 11
[153] 12 7 0 4 11
[76] 0 6 0 4 11
[109] 14 6 0 4 11
[107] 13 6 0 4 11
[105] 12 6 0 4 11
[293] 8 14 0 4 11
[305] 7 14 0 4 11
[111] 6 14 0 4 11
[299] 8 13 0 4 11
[107] 6 13 0 4 11
[297] 8 12 0 4 11
[249] 7 12 0 4 11
[105] 6 12 0 4 11
[357] 10 2 8 4 11
[353] 9 2 8 4 11
[301] 14 0 8 4 11
[299] 13 0 8 4 11
[297] 12 0 8 4 11
[309] 10 2 7 4 11
[305] 9 2 7 4 11
[253] 14 0 7 4 11
[203] 13 0 7 4 11
[153] 12 0 7 4 11
[187] 11 2 6 4 11
[189] 10 2 6 4 11
[185] 9 2 6 4 11
[219] 13 2 6 4 11
[171] 12 2 6 4 11
[463] 10 0 6 4 11
[367] 9 0 6 4 11
[85] 14 0 6 4 11
[83] 13 0 6 4 11
[81] 12 0 6 4 11
[289] 2 14 8 3 11
[293] 0 14 8 3 11
[193] 2 14 7 3 11
[197] 0 14 7 3 11
[270] 14 2 6 3 11
[276] 13 2 6 3 11
[226] 12 2 6 3 11
[78] 14 0 6 3 11
[84] 13 0 6 3 11
[82] 12 0 6 3 11
[180] 2 13 6 3 11
[84] 0 13 6 3 11
[178] 2 12 6 3 11
[82] 0 12 6 3 11
[289] 8 2 14 3 11
[241] 7 2 14 3 11
[49] 6 2 14 3 11
[353] 8 0 14 3 11
[303] 7 0 14 3 11
[109] 6 0 14 3 11
[289] 2 8 14 3 11
[293] 0 8 14 3 11
[241] 2 7 14 3 11
[245] 0 7 14 3 11
[182] 2 6 13 3 11
[86] 0 6 13 3 11
[178] 2 6 12 3 11
[82] 0 6 12 3 11
[293] 2 9 5 8 11
[289] 0 9 5 8 11
[357] 10 2 4 8 11
[353] 9 2 4 8 11
[301] 14 0 4 8 11
[299] 13 0 4 8 11
[297] 12 0 4 8 11
[289] 2 14 3 8 11
[293] 0 14 3 8 11
[245] 2 9 5 7 11
[241] 0 9 5 7 11
[309] 10 2 4 7 11
[305] 9 2 4 7 11
[253] 14 0 4 7 11
[203] 13 0 4 7 11
[153] 12 0 4 7 11
[193] 2 14 3 7 11
[197] 0 14 3 7 11
[76] 1 4 2 6 11
[216] 13 4 2 6 11
[270] 14 3 2 6 11
[276] 13 3 2 6 11
[226] 12 3 2 6 11
[216] 4 13 2 6 11
[224] 3 13 2 6 11
[124] 1 4 0 6 11
[456] 10 4 0 6 11
[78] 14 3 0 6 11
[84] 13 3 0 6 11
[82] 12 3 0 6 11
[474] 5 10 0 6 11
[456] 4 10 0 6 11
[125] 2 9 5 6 11
[25] 0 9 5 6 11
[187] 11 2 4 6 11
[189] 10 2 4 6 11
[185] 9 2 4 6 11
[219] 13 2 4 6 11
[171] 12 2 4 6 11
[463] 10 0 4 6 11
[367] 9 0 4 6 11
[85] 14 0 4 6 11
[83] 13 0 4 6 11
[81] 12 0 4 6 11
[270] 14 2 3 6 11
[276] 13 2 3 6 11
[226] 12 2 3 6 11
[78] 14 0 3 6 11
[84] 13 0 3 6 11
[82] 12 0 3 6 11
[180] 2 13 3 6 11
[84] 0 13 3 6 11
[178] 2 12 3 6 11
[82] 0 12 3 6 11
[458] 9 8 5 2 10
[380] 11 7 5 2 10
[376] 10 7 5 2 10
[314] 9 7 5 2 10
[332] 11 6 5 2 10
[328] 10 6 5 2 10
[266] 9 6 5 2 10
[428] 8 11 5 2 10
[380] 7 11 5 2 10
[332] 6 11 5 2 10
[101] 2 9 5 2 10
[314] 7 9 5 2 10
[266] 6 9 5 2 10
[163] 11 2 4 2 10
[161] 9 2 4 2 10
[172] 5 1 4 2 10
[412] 3 1 4 2 10
[364] 1 8 4 2 10
[367] 0 8 4 2 10
[456] 9 8 4 2 10
[316] 1 7 4 2 10
[319] 0 7 4 2 10
[271] 0 6 4 2 10
[216] 14 6 4 2 10
[366] 14 8 3 2 10
[372] 13 8 3 2 10
[370] 12 8 3 2 10
[318] 14 7 3 2 10
[322] 12 7 3 2 10
[222] 14 6 3 2 10
[228] 13 6 3 2 10
[178] 12 6 3 2 10
[97] 2 14 3 2 10
[366] 8 14 3 2 10
[318] 7 14 3 2 10
[270] 6 14 3 2 10
[364] 8 13 3 2 10
[376] 7 13 3 2 10
[326] 6 13 3 2 10
[370] 8 12 3 2 10
[322] 7 12 3 2 10
[274] 6 12 3 2 10
[458] 9 5 8 2 10
[364] 1 4 8 2 10
[367] 0 4 8 2 10
[456] 9 4 8 2 10
[366] 14 3 8 2 10
[372] 13 3 8 2 10
[370] 12 3 8 2 10
[474] 5 9 8 2 10
[456] 4 9 8 2 10
[380] 11 5 7 2 10
[376] 10 5 7 2 10
[314] 9 5 7 2 10
[316] 1 4 7 2 10
[319] 0 4 7 2 10
[318] 14 3 7 2 10
[322] 12 3 7 2 10
[332] 11 5 6 2 10
[328] 10 5 6 2 10
[266] 9 5 6 2 10
[271] 0 4 6 2 10
[216] 14 4 6 2 10
[222] 14 3 6 2 10
[228] 13 3 6 2 10
[178] 12 3 6 2 10
[216] 4 14 6 2 10
[224] 3 14 6 2 10
[171] 5 2 4 1 10
[411] 3 2 4 1 10
[43] 11 2 4 1 10
[41] 9 2 4 1 10
[367] 8 0 4 1 10
[319] 7 0 4 1 10
[271] 6 0 4 1 10
[133] 14 0 4 1 10
[131] 13 0 4 1 10
[129] 12 0 4 1 10
[241] 2 14 3 1 10
[245] 0 14 3 1 10
[254] 6 13 3 1 10
[524] 5 11 5 0 10
[332] 13 11 5 0 10
[284] 12 11 5 0 10
[230] 8 10 5 0 10
[228] 7 10 5 0 10
[172] 6 10 5 0 10
[328] 13 10 5 0 10
[280] 12 10 5 0 10
[173] 2 9 5 0 10
[174] 1 9 5 0 10
[169] 0 9 5 0 10
[506] 5 9 5 0 10
[410] 4 9 5 0 10
[266] 13 9 5 0 10
[218] 12 9 5 0 10
[332] 11 13 5 0 10
[328] 10 13 5 0 10
[266] 9 13 5 0 10
[216] 5 12 5 0 10
[224] 4 12 5 0 10
[284] 11 12 5 0 10
[280] 10 12 5 0 10
[218] 9 12 5 0 10
[411] 5 2 4 0 10
[171] 3 2 4 0 10
[523] 11 2 4 0 10
[525] 10 2 4 0 10
[521] 9 2 4 0 10
[412] 5 1 4 0 10
[172] 3 1 4 0 10
[518] 7 1 4 0 10
[516] 6 1 4 0 10
[517] 14 0 4 0 10
[515] 13 0 4 0 10
[513] 12 0 4 0 10
[474] 4 11 3 0 10
[456] 3 11 3 0 10
[462] 14 11 3 0 10
[468] 13 11 3 0 10
[466] 12 11 3 0 10
[366] 14 10 3 0 10
[372] 13 10 3 0 10
[370] 12 10 3 0 10
[78] 14 9 3 0 10
[84] 13 9 3 0 10
[82] 12 9 3 0 10
[409] 2 14 3 0 10
[410] 1 14 3 0 10
[413] 0 14 3 0 10
[174] 4 14 3 0 10
[510] 3 14 3 0 10
[462] 11 14 3 0 10
[366] 10 14 3 0 10
[78] 9 14 3 0 10
[228] 4 13 3 0 10
[516] 3 13 3 0 10
[412] 8 13 3 0 10
[422] 6 13 3 0 10
[468] 11 13 3 0 10
[372] 10 13 3 0 10
[84] 9 13 3 0 10
[226] 4 12 3 0 10
[514] 3 12 3 0 10
[466] 11 12 3 0 10
[370] 10 12 3 0 10
[82] 9 12 3 0 10
[458] 9 8 2 5 10
[380] 11 7 2 5 10
[376] 10 7 2 5 10
[314] 9 7 2 5 10
[332] 11 6 2 5 10
[328] 10 6 2 5 10
[266] 9 6 2 5 10
[428] 8 11 2 5 10
[380] 7 11 2 5 10
[332] 6 11 2 5 10
[101] 2 9 2 5 10
[314] 7 9 2 5 10
[266] 6 9 2 5 10
[171] 2 5 0 5 10
[172] 1 5 0 5 10
[216] 12 5 0 5 10
[510] 14 4 0 5 10
[516] 13 4 0 5 10
[514] 12 4 0 5 10
[524] 4 11 0 5 10
[97] 0 9 0 5 10
[506] 4 9 0 5 10
[410] 3 9 0 5 10
[353] 8 2 9 5 10
[303] 7 2 9 5 10
[109] 6 2 9 5 10
[289] 8 0 9 5 10
[241] 7 0 9 5 10
[49] 6 0 9 5 10
[293] 2 8 9 5 10
[289] 0 8 9 5 10
[245] 2 7 9 5 10
[241] 0 7 9 5 10
[125] 2 6 9 5 10
[25] 0 6 9 5 10
[364] 2 8 2 4 10
[367] 1 8 2 4 10
[91] 11 8 2 4 10
[477] 10 8 2 4 10
[473] 9 8 2 4 10
[316] 2 7 2 4 10
[319] 1 7 2 4 10
[379] 11 7 2 4 10
[381] 10 7 2 4 10
[377] 9 7 2 4 10
[271] 1 6 2 4 10
[331] 11 6 2 4 10
[333] 10 6 2 4 10
[329] 9 6 2 4 10
[219] 14 6 2 4 10
[171] 13 6 2 4 10
[163] 2 11 2 4 10
[43] 1 11 2 4 10
[129] 4 11 2 4 10
[143] 3 11 2 4 10
[427] 8 11 2 4 10
[379] 7 11 2 4 10
[331] 6 11 2 4 10
[429] 8 10 2 4 10
[381] 7 10 2 4 10
[333] 6 10 2 4 10
[161] 2 9 2 4 10
[41] 1 9 2 4 10
[375] 8 9 2 4 10
[325] 7 9 2 4 10
[269] 6 9 2 4 10
[254] 13 7 1 4 10
[254] 7 13 1 4 10
[171] 1 5 0 4 10
[172] 0 5 0 4 10
[181] 14 5 0 4 10
[275] 13 5 0 4 10
[225] 12 5 0 4 10
[517] 14 4 0 4 10
[515] 13 4 0 4 10
[513] 12 4 0 4 10
[411] 1 3 0 4 10
[412] 0 3 0 4 10
[463] 11 3 0 4 10
[367] 10 3 0 4 10
[421] 14 3 0 4 10
[419] 13 3 0 4 10
[417] 12 3 0 4 10
[133] 1 14 0 4 10
[229] 5 14 0 4 10
[517] 4 14 0 4 10
[421] 3 14 0 4 10
[41] 7 14 0 4 10
[39] 6 14 0 4 10
[131] 1 13 0 4 10
[155] 0 13 0 4 10
[227] 5 13 0 4 10
[515] 4 13 0 4 10
[419] 3 13 0 4 10
[129] 1 12 0 4 10
[153] 0 12 0 4 10
[239] 5 12 0 4 10
[523] 4 12 0 4 10
[409] 3 12 0 4 10
[366] 14 8 2 3 10
[372] 13 8 2 3 10
[370] 12 8 2 3 10
[318] 14 7 2 3 10
[322] 12 7 2 3 10
[222] 14 6 2 3 10
[228] 13 6 2 3 10
[178] 12 6 2 3 10
[97] 2 14 2 3 10
[366] 8 14 2 3 10
[318] 7 14 2 3 10
[270] 6 14 2 3 10
[364] 8 13 2 3 10
[376] 7 13 2 3 10
[326] 6 13 2 3 10
[370] 8 12 2 3 10
[322] 7 12 2 3 10
[274] 6 12 2 3 10
[241] 2 14 1 3 10
[245] 0 14 1 3 10
[254] 6 13 1 3 10
[524] 11 4 0 3 10
[506] 9 4 0 3 10
[411] 2 3 0 3 10
[412] 1 3 0 3 10
[456] 11 3 0 3 10
[101] 0 14 0 3 10
[174] 5 14 0 3 10
[510] 4 14 0 3 10
[228] 5 13 0 3 10
[516] 4 13 0 3 10
[226] 5 12 0 3 10
[514] 4 12 0 3 10
[129] 5 2 14 3 10
[143] 4 2 14 3 10
[361] 8 2 14 3 10
[313] 7 2 14 3 10
[265] 6 2 14 3 10
[173] 5 0 14 3 10
[509] 4 0 14 3 10
[413] 3 0 14 3 10
[41] 8 0 14 3 10
[39] 7 0 14 3 10
[364] 8 2 13 3 10
[376] 7 2 13 3 10
[326] 6 2 13 3 10
[228] 5 0 13 3 10
[516] 4 0 13 3 10
[370] 8 2 12 3 10
[322] 7 2 12 3 10
[274] 6 2 12 3 10
[226] 5 0 12 3 10
[514] 4 0 12 3 10
[124] 1 5 2 5 9
[456] 10 5 2 5 9
[78] 14 4 2 5 9
[84] 13 4 2 5 9
[82] 12 4 2 5 9
[524] 3 11 2 5 9
[470] 8 10 2 5 9
[468] 7 10 2 5 9
[460] 6 10 2 5 9
[365] 2 9 2 5 9
[366] 1 9 2 5 9
[361] 0 9 2 5 9
[314] 8 9 2 5 9
[266] 7 9 2 5 9
[125] 2 9 1 5 9
[25] 0 9 1 5 9
[76] 1 5 0 5 9
[216] 13 5 0 5 9
[270] 14 4 0 5 9
[276] 13 4 0 5 9
[226] 12 4 0 5 9
[332] 14 11 0 5 9
[284] 13 11 0 5 9
[182] 8 10 0 5 9
[180] 7 10 0 5 9
[124] 6 10 0 5 9
[328] 14 10 0 5 9
[280] 13 10 0 5 9
[78] 1 9 0 5 9
[49] 0 9 0 5 9
[266] 14 9 0 5 9
[218] 13 9 0 5 9
[332] 11 14 0 5 9
[328] 10 14 0 5 9
[266] 9 14 0 5 9
[216] 5 13 0 5 9
[224] 4 13 0 5 9
[284] 11 13 0 5 9
[280] 10 13 0 5 9
[218] 9 13 0 5 9
[458] 10 2 11 5 9
[332] 14 0 11 5 9
[284] 13 0 11 5 9
[86] 8 2 10 5 9
[84] 7 2 10 5 9
[76] 6 2 10 5 9
[410] 11 2 10 5 9
[474] 10 2 10 5 9
[428] 9 2 10 5 9
[182] 8 0 10 5 9
[180] 7 0 10 5 9
[124] 6 0 10 5 9
[328] 14 0 10 5 9
[280] 13 0 10 5 9
[86] 2 8 10 5 9
[182] 0 8 10 5 9
[84] 2 7 10 5 9
[180] 0 7 10 5 9
[89] 8 2 9 5 9
[87] 7 2 9 5 9
[85] 6 2 9 5 9
[413] 11 2 9 5 9
[461] 10 2 9 5 9
[365] 9 2 9 5 9
[177] 5 0 9 5 9
[191] 4 0 9 5 9
[187] 3 0 9 5 9
[265] 14 0 9 5 9
[217] 13 0 9 5 9
[169] 12 0 9 5 9
[501] 10 5 2 4 9
[76] 2 3 2 4 9
[19] 11 3 2 4 9
[21] 10 3 2 4 9
[23] 3 11 2 4 9
[163] 14 11 2 4 9
[259] 12 11 2 4 9
[501] 5 10 2 4 9
[21] 3 10 2 4 9
[309] 13 10 2 4 9
[261] 12 10 2 4 9
[207] 8 9 2 4 9
[205] 7 9 2 4 9
[161] 14 9 2 4 9
[305] 13 9 2 4 9
[257] 12 9 2 4 9
[163] 11 14 2 4 9
[161] 9 14 2 4 9
[309] 10 13 2 4 9
[305] 9 13 2 4 9
[259] 11 12 2 4 9
[261] 10 12 2 4 9
[257] 9 12 2 4 9
[254] 12 7 1 4 9
[254] 7 12 1 4 9
[493] 14 5 0 4 9
[491] 13 5 0 4 9
[489] 12 5 0 4 9
[124] 0 3 0 4 9
[13] 14 3 0 4 9
[11] 13 3 0 4 9
[133] 0 14 0 4 9
[101] 8 14 0 4 9
[161] 7 14 0 4 9
[159] 6 14 0 4 9
[107] 8 13 0 4 9
[299] 6 13 0 4 9
[263] 5 12 0 4 9
[259] 4 12 0 4 9
[193] 3 12 0 4 9
[171] 5 2 14 4 9
[411] 3 2 14 4 9
[43] 11 2 14 4 9
[41] 9 2 14 4 9
[367] 8 0 14 4 9
[319] 7 0 14 4 9
[271] 6 0 14 4 9
[133] 14 0 14 4 9
[131] 13 0 14 4 9
[129] 12 0 14 4 9
[309] 10 2 13 4 9
[305] 9 2 13 4 9
[253] 14 0 13 4 9
[203] 13 0 13 4 9
[153] 12 0 13 4 9
[259] 11 2 12 4 9
[261] 10 2 12 4 9
[257] 9 2 12 4 9
[254] 7 1 12 4 9
[205] 14 0 12 4 9
[155] 13 0 12 4 9
[249] 12 0 12 4 9
[23] 4 2 14 3 9
[495] 7 0 14 3 9
[493] 6 0 14 3 9
[25] 2 4 14 3 9
[125] 0 4 14 3 9
[84] 2 4 13 3 9
[180] 0 4 13 3 9
[82] 2 4 12 3 9
[178] 0 4 12 3 9
[457] 0 10 0 6 11 5
[183] 7 2 10 6 11 5
[221] 13 2 10 6 11 5
[95] 4 0 10 6 11 5
[457] 10 0 10 6 11 5
[317] 0 12 7 2 10 5
[277] 14 2 6 2 10 5
[223] 2 14 6 2 10 5
[278] 7 14 6 2 10 5
[317] 2 7 11 2 10 5
[278] 12 8 5 0 10 5
[278] 8 12 5 0 10 5
[505] 0 11 4 0 10 5
[457] 0 11 3 0 10 5
[278] 12 5 8 0 10 5
[505] 0 4 11 0 10 5
[278] 12 5 0 8 10 5
[278] 14 6 2 7 10 5
[373] 14 8 2 6 10 5
[371] 13 8 2 6 10 5
[369] 12 8 2 6 10 5
[323] 13 7 2 6 10 5
[321] 12 7 2 6 10 5
[277] 14 6 2 6 10 5
[327] 6 14 2 6 10 5
[371] 8 13 2 6 10 5
[323] 7 13 2 6 10 5
[369] 8 12 2 6 10 5
[321] 7 12 2 6 10 5
[273] 6 12 2 6 10 5
[235] 11 5 0 6 10 5
[233] 9 5 0 6 10 5
[475] 11 3 0 6 10 5
[479] 3 11 0 6 10 5
[233] 5 9 0 6 10 5
[425] 3 9 0 6 10 5
[183] 0 7 5 2 9 5
[255] 12 7 4 2 9 5
[255] 7 12 4 2 9 5
[183] 0 5 7 2 9 5
[255] 12 4 7 2 9 5
[135] 2 9 7 2 9 5
[255] 14 7 10 2 9 5
[135] 2 7 9 2 9 5
[95] 4 2 5 1 9 5
[457] 10 2 5 1 9 5
[183] 7 0 5 1 9 5
[221] 13 0 5 1 9 5
[95] 5 2 5 0 9 5
[465] 10 2 5 0 9 5
[369] 9 2 5 0 9 5
[277] 13 0 5 0 9 5
[179] 0 12 5 0 9 5
[47] 2 14 4 0 9 5
[47] 0 4 9 0 9 5
[475] 10 8 2 5 9 5
[183] 1 7 2 5 9 5
[423] 11 7 2 5 9 5
[471] 10 7 2 5 9 5
[469] 10 6 2 5 9 5
[373] 9 6 2 5 9 5
[425] 8 11 2 5 9 5
[423] 7 11 2 5 9 5
[457] 1 10 2 5 9 5
[471] 7 10 2 5 9 5
[469] 6 10 2 5 9 5
[327] 7 9 2 5 9 5
[277] 13 5 0 5 9 5
[95] 1 4 0 5 9 5
[335] 14 4 0 5 9 5
[287] 13 4 0 5 9 5
[283] 13 3 0 5 9 5
[235] 12 3 0 5 9 5
[273] 5 14 0 5 9 5
[335] 4 14 0 5 9 5
[221] 1 13 0 5 9 5
[287] 4 13 0 5 9 5
[283] 3 13 0 5 9 5
[479] 4 12 0 5 9 5
[255] 12 7 2 4 9 5
[255] 7 12 2 4 9 5
[255] 7 2 12 4 9 5
[95] 2 4 0 3 9 5
[95] 0 6 3 11 2 4
[47] 0 11 3 11 2 4
[283] 13 2 6 11 2 4
[235] 12 2 6 11 2 4
[95] 3 0 6 11 2 4
[95] 0 3 6 11 2 4
[93] 0 11 6 11 2 4
[475] 9 8 2 10 2 4
[285] 14 6 2 10 2 4
[233] 11 5 0 10 2 4
[235] 9 5 0 10 2 4
[285] 12 5 0 10 2 4
[233] 5 11 0 10 2 4
[425] 3 11 0 10 2 4
[479] 3 9 0 10 2 4
[475] 10 2 5 9 2 4
[183] 8 0 5 9 2 4
[281] 13 0 5 9 2 4
[233] 12 0 5 9 2 4
[183] 0 8 5 9 2 4
[93] 2 9 5 9 2 4
[255] 12 8 4 9 2 4
[255] 8 12 4 9 2 4
[183] 0 5 8 9 2 4
[255] 12 4 8 9 2 4
[135] 2 9 8 9 2 4
[373] 14 8 2 10 1 4
[371] 13 8 2 10 1 4
[369] 12 8 2 10 1 4
[323] 13 7 2 10 1 4
[321] 12 7 2 10 1 4
[277] 14 6 2 10 1 4
[327] 6 14 2 10 1 4
[371] 8 13 2 10 1 4
[323] 7 13 2 10 1 4
[369] 8 12 2 10 1 4
[321] 7 12 2 10 1 4
[273] 6 12 2 10 1 4
[235] 11 5 0 10 1 4
[233] 9 5 0 10 1 4
[475] 11 3 0 10 1 4
[479] 3 11 0 10 1 4
[233] 5 9 0 10 1 4
[425] 3 9 0 10 1 4
[255] 6 14 7 11 0 4
[179] 2 13 6 11 0 4
[183] 2 6 14 11 0 4
[179] 2 6 13 11 0 4
[327] 6 2 14 10 0 4
[135] 2 6 14 10 0 4
[371] 8 2 13 10 0 4
[323] 7 2 13 10 0 4
[369] 8 2 12 10 0 4
[321] 7 2 12 10 0 4
[273] 6 2 12 10 0 4
[47] 0 5 12 10 0 4
[179] 0 13 5 9 0 4
[179] 0 5 13 9 0 4
[95] 2 5 12 9 0 4
[135] 2 10 6 14 0 4
[183] 2 6 11 14 0 4
[327] 6 2 10 14 0 4
[135] 2 6 10 14 0 4
[179] 2 6 11 13 0 4
[371] 8 2 10 13 0 4
[323] 7 2 10 13 0 4
[179] 0 5 9 13 0 4
[47] 0 10 5 12 0 4
[369] 8 2 10 12 0 4
[321] 7 2 10 12 0 4
[273] 6 2 10 12 0 4
[47] 0 5 10 12 0 4
[95] 2 5 9 12 0 4
[93] 0 10 6 2 11 4
[479] 3 0 11 2 11 4
[47] 0 3 11 2 11 4
[93] 2 5 10 2 11 4
